"198";"missingno15";"159.84";"798";"128";"0";"1371";"25";"0";"0";"1592";"0";"789.637058823529"
"199";"KanmuriAramaki";"48.08";"533";"0";"0";"2937";"4";"72";"0";"0";"568";"441.870909090909"
"200";"jikkenkekka";"0";"0";"0";"0";"0";"1";"199";"0";"62";"0";"44.4470588235294"
"201";"BuyYamsNow";"365";"0";"0";"0";"275";"0";"0";"0";"0";"0";"390"
"202";"Ally_kk";"7056";"0";"33";"0";"0";"0";"0";"18";"0";"0";"7107"
"203";"lorxraposa";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0.8"
"204";"ALet75";"390.1";"3770";"0";"0";"0";"0";"568";"0";"250";"0";"1279.40588235294"
"205";"domokun1134";"57.4";"5";"0";"0";"0";"0";"0";"0";"0";"0";"58.4"
"206";"kassvea";"4939.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4939.5"
"207";"sinisterscribe";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"208";"r_b_n_w_n";"413";"6546.5";"0";"0";"65";"0";"535";"0";"389";"0";"1886.43235294118"
"209";"Hyperglot";"7";"0";"0";"0";"0";"0";"0";"5";"0";"0";"12"
"210";"konayaakira";"159";"67";"58";"0";"0";"6";"0";"4";"0";"0";"338"
"211";"YouAintNoNerd";"56";"0";"0";"0";"0";"0";"0";"0";"0";"0";"56"
"212";"darumoru";"311";"0";"0";"0";"0";"0";"0";"0";"0";"0";"311"
"213";"kanjidaily";"13";"2396";"23";"0";"0";"5";"114";"5";"1585";"0";"751.235294117647"
"214";"lane_hensley";"32";"0";"0";"0";"0";"0";"0";"0";"0";"0";"38.4"
"215";"kirakirai";"189";"1217";"117";"0";"0";"35";"0";"8";"1800";"0";"917.260869565217"
"216";"druckfehler";"32";"13";"2";"0";"0";"5";"0";"0";"193";"0";"52.3222222222222"
"217";"bakaeigo";"515";"0";"0";"0";"0";"0";"0";"0";"0";"0";"515"
"218";"scoutsghost";"142";"65";"0";"0";"0";"0";"0";"0";"0";"0";"281.4"
"219";"Iwwersetzerin";"412";"0";"0";"0";"0";"0";"0";"0";"0";"0";"412"
"220";"terrysycamore";"13";"212";"48";"0";"0";"0";"0";"24";"363";"0";"163.5"
"221";"rikabamboo";"1042";"574";"0";"0";"0";"0";"0";"0";"0";"0";"1203.2"
"222";"malinkibear";"3";"0";"0";"0";"0";"0";"0";"2";"286";"0";"21.8235294117647"
"223";"Irvine1989";"455";"153";"10";"0";"0";"0";"0";"0";"0";"0";"495.6"
"224";"nihontadoku";"25";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25"
"225";"RiverOverrun";"1099";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1121"
"226";"TheSethAffect";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"227";"megaliterarisch";"1321";"1431";"190";"10";"2490";"0";"0";"0";"65";"0";"1928.36666666667"
"228";"JoelHook";"28";"0";"0";"0";"0";"0";"0";"0";"0";"0";"28"
"229";"songlines_north";"728";"68";"0";"0";"0";"0";"0";"34.75";"0";"0";"776.35"
"230";"x_inertia_x";"811.5";"0";"22.5";"0";"0";"2";"0";"3";"650";"0";"883.035294117647"
"231";"Sukubasukuba";"73";"11";"11";"0";"0";"0";"0";"1";"149";"0";"164.964705882353"
"232";"Tokorooo";"1344";"59";"46";"0";"0";"11";"0";"0";"0";"0";"1417.4"
"233";"1ceCreammm";"1701";"10";"0";"0";"0";"0";"0";"107";"0";"0";"2005.4"
"234";"greenisgo";"0";"577";"0";"0";"0";"10";"0";"0";"483";"0";"168.811764705882"
"235";"ViolaHornsby";"127";"0";"0";"0";"0";"0";"0";"0";"568";"0";"160.411764705882"
"236";"hurhurhur";"60";"0";"0";"0";"0";"0";"0";"0";"0";"0";"60"
"237";"Joe_g_Robertson";"54";"404";"0";"0";"0";"0";"0";"0";"0";"0";"134.8"
"238";"ta132";"864";"3188";"32.14";"0";"626";"0";"0";"20";"21059";"0";"3024.20470588235"
"239";"Quarkles01";"0";"1235";"4";"0";"0";"0";"0";"0";"0";"0";"251"
"240";"bokusenou";"200";"0";"10";"0";"0";"0";"0";"0";"0";"0";"210"
"241";"Doctor_Dunlap";"385";"0";"0";"0";"0";"0";"0";"122";"1050";"0";"628.764705882353"
"242";"loewachan";"860";"0";"0";"0";"0";"0";"0";"0";"0";"0";"860"
"243";"goblintusk";"0";"398";"6";"0";"0";"0";"0";"0";"0";"0";"84.6"
"244";"captal07";"147";"0";"18";"0";"731";"0";"0";"0";"0";"0";"201.55"
"245";"ararara_";"0";"0";"5";"0";"0";"0";"0";"0";"937";"0";"60.1176470588235"
"246";"SteffenFeuer";"0";"542";"0";"0";"0";"0";"0";"0";"0";"0";"108.4"
"247";"Final__Heaven";"0";"373";"4";"0";"0";"2";"0";"0";"0";"0";"80.6"
